country_iso3,country,year,corporate_tax_rate_pct,data_source,retrieval_date
THA,Thailand,1984,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1985,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1986,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1987,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1988,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1989,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1990,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1991,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1992,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1993,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1994,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1995,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1996,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1997,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1998,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,1999,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,2000,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,2001,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,2002,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,2003,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,2004,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
THA,Thailand,2005,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
