country_iso3,country,year,indicator_code,indicator,value,data_source,retrieval_date
USA,United States,2016,FR.INR.RINR,real_interest_rate_pct,2.63773113762977,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2015,FR.INR.RINR,real_interest_rate_pct,2.4751634842667,WorldBank_API_real_supplementary,2026-04-29
USA,United States,2014,FR.INR.RINR,real_interest_rate_pct,1.58866664005878,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2023,FR.INR.RINR,real_interest_rate_pct,7.08136836215213,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2022,FR.INR.RINR,real_interest_rate_pct,3.41861684479736,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2021,FR.INR.RINR,real_interest_rate_pct,4.79218047283212,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2020,FR.INR.RINR,real_interest_rate_pct,6.09064299683403,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2019,FR.INR.RINR,real_interest_rate_pct,5.15925265729481,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2018,FR.INR.RINR,real_interest_rate_pct,3.61415504341763,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2017,FR.INR.RINR,real_interest_rate_pct,2.59151415896465,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2016,FR.INR.RINR,real_interest_rate_pct,5.04860292807267,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2015,FR.INR.RINR,real_interest_rate_pct,8.98829687567201,WorldBank_API_real_supplementary,2026-04-29
VNM,Viet Nam,2014,FR.INR.RINR,real_interest_rate_pct,4.78973116512498,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2023,EG.ELC.LOSS.ZS,td_losses_pct,3.42898799062376,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2022,EG.ELC.LOSS.ZS,td_losses_pct,3.42196644419848,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2021,EG.ELC.LOSS.ZS,td_losses_pct,3.78659226465804,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2020,EG.ELC.LOSS.ZS,td_losses_pct,4.16389640609799,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2019,EG.ELC.LOSS.ZS,td_losses_pct,4.43746316383222,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2018,EG.ELC.LOSS.ZS,td_losses_pct,4.69240329095852,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2017,EG.ELC.LOSS.ZS,td_losses_pct,4.75939076557592,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2016,EG.ELC.LOSS.ZS,td_losses_pct,4.94033876369028,WorldBank_API_real_supplementary,2026-04-29
CHN,China,2015,EG.ELC.LOSS.ZS,td_losses_pct,5.10375821947701,WorldBank_API_real_supplementary,2026-04-29
