year_month,year,month,iip_div26_index,iip_div26_growth_pct,data_source,retrieval_date,notes
2024-12,2024,December,115.1,3.1,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-01,2025,January,126.0,4.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-02,2025,February,139.9,11.2,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-03,2025,March,165.2,22.6,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-04,2025,April,126.3,10.6,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-05,2025,May,129.8,-4.9,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-06,2025,June,134.4,-0.3,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-07,2025,July,137.1,4.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-08,2025,August,148.6,1.4,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-09,2025,September,157.0,7.0,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-10,2025,October,135.4,9.0,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-11,2025,November,133.5,15.2,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2025-12,2025,December,156.2,35.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2026-01,2026,January,148.3,17.7,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2026-02,2026,February,148.3,6.0,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
2026-03,2026,March,151.6,-8.2,MOSPI_esankhyiki_API_real,2026-05-01,"NIC 2-digit Division 26: Manufacture of Computer, Electronic and Optical Products; base 2011-12=100"
