reporter_code,reporter_name,year,hs_code,segment,flow,trade_value_usd,quantity,data_source,retrieval_date,reporter_iso3
156,China,2017,8486,Equipment,Import,7554363.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,3049011.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,4072863.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,6974662.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,7084.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,9759199.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,125816561.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,1375464103.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,10600.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,614751.0,4.678,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,8480.0,8.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,2787943652.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,1155229.0,14.847,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,1586.0,1.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,30185.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,6404836086.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,29171651.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,9999082.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,42288886.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,1576652.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,40051.0,858.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,19703553.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,33845824.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,55826864.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,70288633.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,438278.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,3019.0,7.33,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,109810.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,540531.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,30364.0,68.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,82729836.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,32413783.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,22003862.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,978355714.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,140922979.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,563122687.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,1714353.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,8486,Equipment,Import,88540549.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2018,8486,Equipment,Import,30769938292.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2019,8486,Equipment,Import,26433374333.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2020,8486,Equipment,Import,31642114458.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2021,8486,Equipment,Import,41000272171.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2022,8486,Equipment,Import,34721757399.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2023,8486,Equipment,Import,39612488192.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2024,8486,Equipment,Import,47066803832.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,27865657734.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,18217928759.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,1020068.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,127868.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,1657654911.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,13297448.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,982.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,4476678.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,6248.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,4933.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,310103572.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,396949.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,251911.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,211939.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,2364962.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,4012.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,446339.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,443447.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,52417446.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,2929483.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,128425.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,1670.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,1021116.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,89821259.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,3405453.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,11394510.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,43606.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,374567.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,8112673.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,2037.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,245785.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,493911071.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,1424.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,875163.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,17087.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,5985.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,3198229894.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,15622.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,299648.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,14502.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,1014223.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,185797.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,2127871943.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,1249320.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,300.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,1943579.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,220455859.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,2335171.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,140699.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,7500.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,47132.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8541,Devices,Import,11775715.0,0.0,Comtrade_API_real,2026-04-26,CHN
