country_iso3,country_name,year,indicator_code,indicator,lending_rate_pct,source_tier,period_granularity,synopsis_aligned,source_priority,notes,data_source,retrieval_date
USA,United States,2020,FR.INR.LEND,lending_rate_pct,3.54416666666667,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
USA,United States,2021,FR.INR.LEND,lending_rate_pct,3.25,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
VNM,Viet Nam,2015,FR.INR.LEND,lending_rate_pct,7.1175,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
VNM,Viet Nam,2016,FR.INR.LEND,lending_rate_pct,6.96,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
VNM,Viet Nam,2017,FR.INR.LEND,lending_rate_pct,7.0675,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
VNM,Viet Nam,2018,FR.INR.LEND,lending_rate_pct,7.371875,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
VNM,Viet Nam,2019,FR.INR.LEND,lending_rate_pct,7.7075,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
VNM,Viet Nam,2020,FR.INR.LEND,lending_rate_pct,7.6475,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
VNM,Viet Nam,2021,FR.INR.LEND,lending_rate_pct,7.811,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
VNM,Viet Nam,2022,FR.INR.LEND,lending_rate_pct,8.01333333333333,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
VNM,Viet Nam,2023,FR.INR.LEND,lending_rate_pct,9.323,WB_FR_INR_LEND,annual,True,P1,,WorldBank_API_FR_INR_LEND_with_ECB_fallback,2026-05-09
