year_month,fy,year,month,hs_code,segment,flow,total_trade_usd_million,hhi_country_concentration,top1_country_share_pct,top3_country_share_pct,num_partner_countries,data_source,retrieval_date
2019-08,2019-20,2019,8,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-08,2019-20,2019,8,8486,Equipment,Export,0.93,2339.0,40.86,72.04,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-08,2019-20,2019,8,8541,Devices,Export,33.54,4477.5,64.16,86.7,46,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-08,2019-20,2019,8,8542,ICs,Export,23.71,3028.0,51.41,73.6,32,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-09,2019-20,2019,9,3818,Raw_Materials,Export,0.09,4321.0,55.56,100.0,3,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-09,2019-20,2019,9,8486,Equipment,Export,0.83,1621.4,22.89,65.06,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-09,2019-20,2019,9,8541,Devices,Export,35.88,4904.6,67.64,88.94,50,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-09,2019-20,2019,9,8542,ICs,Export,22.78,4371.3,64.57,81.34,38,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-10,2019-20,2019,10,8486,Equipment,Export,0.75,1744.0,32.0,61.33,14,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-10,2019-20,2019,10,8541,Devices,Export,34.02,3822.8,53.76,88.3,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-10,2019-20,2019,10,8542,ICs,Export,38.1,5645.6,74.41,87.48,34,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-11,2019-20,2019,11,8486,Equipment,Export,0.68,2257.8,35.29,73.53,15,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-11,2019-20,2019,11,8541,Devices,Export,36.58,2803.0,44.18,82.26,42,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-11,2019-20,2019,11,8542,ICs,Export,7.01,1888.6,34.81,66.19,38,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-12,2019-20,2019,12,8486,Equipment,Export,0.72,2615.7,40.28,77.78,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-12,2019-20,2019,12,8541,Devices,Export,34.94,6026.7,76.87,90.73,49,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-12,2019-20,2019,12,8542,ICs,Export,19.44,2199.9,34.47,74.54,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-01,2019-20,2020,1,8486,Equipment,Export,0.82,2700.8,43.9,79.27,13,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-01,2019-20,2020,1,8541,Devices,Export,23.07,5945.6,76.81,85.22,45,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-01,2019-20,2020,1,8542,ICs,Export,18.01,3051.6,51.75,75.24,35,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-02,2019-20,2020,2,8486,Equipment,Export,0.79,2715.9,40.51,79.75,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-02,2019-20,2020,2,8541,Devices,Export,21.14,4017.1,61.59,80.13,44,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-02,2019-20,2020,2,8542,ICs,Export,35.45,3624.5,47.93,88.89,35,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-03,2019-20,2020,3,3818,Raw_Materials,Export,0.02,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-03,2019-20,2020,3,8486,Equipment,Export,0.66,3103.8,43.94,87.88,6,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-03,2019-20,2020,3,8541,Devices,Export,7.81,1825.8,39.69,55.83,44,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-03,2019-20,2020,3,8542,ICs,Export,14.72,1900.6,33.49,67.26,30,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-04,2020-21,2020,4,8486,Equipment,Export,0.37,4317.0,51.35,97.3,4,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-04,2020-21,2020,4,8541,Devices,Export,1.5,1207.1,15.33,45.33,16,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-04,2020-21,2020,4,8542,ICs,Export,22.87,5313.4,71.1,92.3,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-05,2020-21,2020,5,3818,Raw_Materials,Export,0.02,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-05,2020-21,2020,5,8486,Equipment,Export,0.67,2818.0,37.31,80.6,8,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-05,2020-21,2020,5,8541,Devices,Export,16.18,5791.9,75.83,81.52,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-05,2020-21,2020,5,8542,ICs,Export,27.81,3402.1,41.57,93.78,23,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-06,2020-21,2020,6,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-06,2020-21,2020,6,8486,Equipment,Export,0.92,2814.3,39.13,86.96,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-06,2020-21,2020,6,8541,Devices,Export,16.4,4994.0,70.12,80.43,44,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-06,2020-21,2020,6,8542,ICs,Export,29.06,2875.5,45.25,84.72,32,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-07,2020-21,2020,7,8486,Equipment,Export,1.23,3342.6,47.97,90.24,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-07,2020-21,2020,7,8541,Devices,Export,16.23,3430.8,57.49,68.82,49,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-07,2020-21,2020,7,8542,ICs,Export,24.31,3995.6,59.89,85.4,35,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-08,2020-21,2020,8,8486,Equipment,Export,32.26,5947.7,73.47,98.05,15,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-08,2020-21,2020,8,8541,Devices,Export,10.89,1877.3,37.92,64.83,44,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-08,2020-21,2020,8,8542,ICs,Export,8.98,2048.3,32.18,67.37,39,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-09,2020-21,2020,9,3818,Raw_Materials,Export,0.02,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-09,2020-21,2020,9,8486,Equipment,Export,1.09,3534.2,48.62,91.74,9,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-09,2020-21,2020,9,8541,Devices,Export,10.95,1580.9,34.16,57.63,51,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-09,2020-21,2020,9,8542,ICs,Export,15.79,2145.7,32.55,70.87,35,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-10,2020-21,2020,10,8486,Equipment,Export,1.15,3291.5,45.22,86.96,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-10,2020-21,2020,10,8541,Devices,Export,8.54,2195.6,40.16,67.92,47,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-10,2020-21,2020,10,8542,ICs,Export,18.49,1875.7,28.23,72.85,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-11,2020-21,2020,11,8486,Equipment,Export,1.03,3509.3,47.57,94.17,8,DGFT_TRADESTAT_MEIDB_real,2026-05-09
